x1,y1,x2,y2,x3,y3,angle,energy_objective,stress_constraint,date
34.501518361324244,16.283266084171846,47.504972942965196,48.63039547308335,24.91416273803437,42.96185287885277,21.054674131366163,10179.763702139913,385.22200000000004,2026-06-07 23:37:47
15.944124318017135,17.44481174934108,47.09667932773811,51.65357479717818,23.566936360241648,43.24105678717215,8.171213536360217,10568.77664882711,756.36925,2026-06-07 23:37:47
28.824414952845263,12.068908561165282,36.39704030235529,48.18159738957807,24.380898163187496,38.0743805367705,40.869676584349804,10697.163392716806,370.03299999999996,2026-06-07 23:37:47
38.15303190306001,11.173294342270578,9.999525168480254,34.316940460807984,31.016272089949155,36.660046141799576,37.89757972733709,8935.018501423932,412.54825,2026-06-08 13:55:16
46.63157459969162,11.158489152788205,39.02855094419023,34.31915807852667,23.04458985586502,30.42288350396155,49.66688724874961,9221.4496103333,578.0245,2026-06-08 13:55:16
45.224929690777145,13.835143439895635,26.587345083579894,26.680439107161593,35.49192204458271,40.5618275889721,42.41532843031411,10365.461014744264,396.99475,2026-06-08 13:55:16
21.654343003682165,11.847661269507238,13.394660401527528,41.62468223070206,40.67288622904983,34.83000190529905,55.26765255662781,11622.295461426264,274.29625,2026-06-08 13:55:16
19.888169144224904,17.756274603846457,20.175271546142163,39.93763446295452,43.8320502933601,30.790834909739324,76.48964382636277,12990.298319346473,231.25375,2026-06-08 13:55:16
35.49638431445599,18.198333005655062,16.943718630881243,27.442446822211824,28.55047673171046,48.597604309123795,1.4631567097241753,12727.12629653019,243.3565,2026-06-08 13:55:16
28.004303389028475,17.669456895381963,45.078181729988906,10.68743999956658,39.05578467321759,35.99771096616414,43.4109571616704,12097.389219075318,269.04925000000003,2026-06-08 13:55:16
40.10098787441105,11.076441741737389,18.59554781346948,9.918082549226988,37.98430750306215,39.72302699542545,36.825459459094496,11302.80300079634,298.0225,2026-06-08 13:55:16
27.334519532047256,12.7051767550792,50.977802911531136,42.173424654489764,35.44308987573013,32.264029191776906,26.644490801236095,12048.321628675367,304.47024999999996,2026-06-08 13:55:16
11.058138955588655,11.990913808757051,31.098418551395163,9.87597056427829,27.3401157145287,33.60271318760942,4.0568625734221815,12475.609714943088,275.76324999999997,2026-06-08 13:55:16
36.45107057709979,12.093735100181686,16.534959919965118,10.761802217559929,24.703498475277605,36.94633772801241,23.082143683381997,11330.604062201532,335.0185,2026-06-08 13:55:16
15.45784746666233,18.864331685176463,36.557269117951286,9.291296907524835,39.75364526854096,39.14469266036132,46.079778492134935,11783.324755510637,281.92150000000004,2026-06-08 13:55:16
19.63032515003365,11.613853953791,41.42300998690674,11.436533211838565,38.56003108336938,31.988313521596606,27.050866183434454,12127.539319454661,304.29925000000003,2026-06-08 13:55:16
15.239814623454924,15.96704830196376,45.855106320713055,37.346525517708955,26.228760305623492,32.57703055250024,54.4973423477535,11786.99260539043,324.5335,2026-06-08 13:55:16
18.227851939200605,11.708276527662346,50.93320923981685,15.647105376808433,36.05006241201563,37.12040443383607,77.15613858542197,10302.28991989258,390.2725,2026-06-08 13:55:16
31.31050035764461,11.555588639199511,16.432276255091327,17.90011814792917,39.12922807040495,40.33629973495076,50.07761290714896,10972.844905951673,337.91275,2026-06-08 13:55:16
47.82594898181878,14.507422327848722,20.514522612573497,20.60389918032532,33.99448747280996,44.0465301726686,2.342741958652687,12834.084817439958,244.60675,2026-06-08 13:55:16
